country,region,regime,n_chunks,Topic_1_5,Topic_2,Topic_3,Topic_4,Topic_6,Topic_7,rationalization,moral_evaluation,authorization,mythopoesis,normalization
AUSTRALIA,Oceania,Democracy,22,0.059381127486430645,0.06473190956067053,0.5446803573543687,0.07439195047211297,0.13589782940667255,0.12091682571974446,0.2584127607900954,0.28081261287772996,0.21875609435417936,0.1815601191181229,0.06045841285987223
AUSTRIA,Europe,Democracy,46,0.1104850279480341,0.3662688887691762,0.059839858689740205,0.3220234493551187,0.004129001874376935,0.1372537733635539,0.311132846914759,0.4193353025994112,0.18095834424080606,0.019946619563246733,0.06862688668177695
BELGIUM,Europe,Democracy,18,0.40710432437107047,0.05556161430249086,0.166687958284587,0.0669452181220324,0.29152689554448546,0.012173989375333833,0.5289468595689331,0.32036823115932583,0.0890352618225452,0.055562652761529,0.0060869946876669166
CANADA,North America,Democracy,16,0.5171960001892196,0.012990742502900488,0.10447161079603007,0.25507997782143155,0.09177287867811015,0.018488790012307958,0.36611064503032414,0.42745723052211915,0.1623638591760591,0.03482387026534335,0.009244395006153979
CHINA,Asia,Autocracy,30,0.0035737595645611866,0.041229555046700804,0.05098298064689968,0.06386111922643814,0.020487680231175386,0.8198649052842246,0.45282179017891866,0.07132654380114996,0.04892488649551896,0.01699432688229989,0.4099324526421123
CZECHIA,Europe,Democracy,29,0.053554263535158686,0.6033677588377676,0.08066018610988489,0.18871758423899657,0.032281203713925746,0.0414190035642663,0.38145171668252204,0.44970653200925637,0.12124552082279325,0.026886728703294963,0.02070950178213315
DENMARK,Europe,Democracy,12,0.47352207726060036,0.07925129325986123,0.23333954892266404,0.17209951406158805,0.019531362112175,0.022256204383111208,0.30704614956396137,0.44021629193191286,0.16382960667168203,0.07777984964088801,0.011128102191555604
ESTONIA,Europe,Democracy,14,0.20206979606929584,0.5952228919705597,0.017914999772333757,0.17133527293470224,0.002697843172710243,0.0107591960803976,0.4067237852328368,0.4902856470780568,0.09163930305812903,0.005971666590777918,0.0053795980401988
FINLAND,Europe,Democracy,43,0.1316464937877512,0.21007217655337745,0.5701311638686052,0.03808764926536757,0.008015652467441793,0.042046864057456695,0.1998984196667345,0.3799468810927832,0.20908754592221884,0.19004372128953506,0.021023432028728348
GERMANY,Europe,Democracy,28,0.08074547329510988,0.44334269763329776,0.04415560809627343,0.31180727456716945,0.014759080149316858,0.10518986625883246,0.3293980987429369,0.43266625877987974,0.17062217331567586,0.014718536032091143,0.05259493312941623
GREECE,Europe,Democracy,78,0.5806816297902105,0.02217898738134758,0.04639083856717679,0.1366494393731005,0.1731867050025552,0.04091239988560922,0.4950732135311389,0.38521864112805493,0.08378833254227586,0.015463612855725596,0.02045619994280461
HUNGARY,Europe,Autocracy,42,0.16535952371255874,0.22677053493198257,0.11870523087211166,0.10519836989592746,0.00873428100735054,0.3752320595800689,0.3924153401196556,0.28823262456093823,0.0921675952386676,0.03956841029070388,0.18761602979003444
ICELAND,Europe,Democracy,13,0.45441646976142636,0.15929033020678987,0.07759321237347762,0.2666211380871909,0.01808980157342717,0.02398904799768792,0.33693772555637924,0.4660283731521961,0.15917497316808799,0.02586440412449254,0.01199452399884396
INDIA,Asia,Autocracy,85,0.46400794136881635,0.023193034896898383,0.13260312029347868,0.029938452935963887,0.23473051550924487,0.11552693499559788,0.5360944711399012,0.30277075469866555,0.05917026656580816,0.04420104009782622,0.05776346749779894
IRELAND,Europe,Democracy,55,0.18173199611270419,0.15698111461984748,0.27068544985927045,0.2643808152867845,0.06728883605550047,0.05893178806589289,0.26611128545472273,0.39177544629609157,0.2224188909298157,0.09022848328642348,0.029465894032946444
ISRAEL,Asia,Democracy,53,0.19258035692889286,0.014704882618113061,0.0706211145943552,0.15234871939111927,0.5542719403561561,0.015472986111363392,0.6656510531853408,0.20335735100051433,0.09971473122701137,0.023540371531451734,0.007736493055681696
ITALY,Europe,Democracy,37,0.34814215528495845,0.26992192636763507,0.08052283631711812,0.17473457892691607,0.10466728956570903,0.022011213537663315,0.42470493716083746,0.4232402757287942,0.1142082349024974,0.026840945439039372,0.011005606768831657
JAPAN,Asia,Democracy,24,0.046579330444129596,0.07586109301221727,0.21848624972731842,0.14864974136317036,0.09635356768465404,0.4140700177685103,0.36460878829708265,0.20837383231886475,0.14715362059069131,0.07282874990910614,0.20703500888425516
LITHUANIA,Europe,Democracy,12,0.11709996003456836,0.09612474078437099,0.2302794562222681,0.23761513318259178,0.23572325877782185,0.083157450998379,0.38391433468648106,0.30217973574152157,0.19556738533205192,0.07675981874075602,0.0415787254991895
LUXEMBOURG,Europe,Democracy,10,0.1739261975536744,0.1745347785499311,0.3194780384327291,0.13649058819703114,0.15379041824255038,0.041779979024083966,0.34891089580639506,0.34896846162789463,0.17473797357609194,0.10649267947757636,0.020889989512041983
MALTA,Europe,Democracy,26,0.12280558612408081,0.15158410684388818,0.22470324484947118,0.4394323133231058,0.05026399527621294,0.011210753583241176,0.19306421855181805,0.4318120847620278,0.2946172382780433,0.0749010816164904,0.005605376791620588
NEW ZEALAND,Oceania,Democracy,12,0.13043612808167435,0.020090452423006198,0.5850329178472773,0.14681578730798955,0.06471306304303485,0.05291165129701771,0.16643217894388396,0.3436821565220941,0.26841886626975386,0.1950109726157591,0.026455825648508857
NORWAY,Europe,Democracy,46,0.40806363488768704,0.24303226072479717,0.0666694122851665,0.20053622849391423,0.017366627794705266,0.06433183581372981,0.37508049350781225,0.448039199481588,0.12249125167534594,0.022223137428388832,0.032165917906864905
POLAND,Europe,Democracy,35,0.14398310710556916,0.49516647040944894,0.0960903788838504,0.19142443906361248,0.014127286866579266,0.05920831767093975,0.3633062344595582,0.44731713458393213,0.12774234582642302,0.032030126294616795,0.029604158835469876
PORTUGAL,Europe,Democracy,24,0.2335455989481853,0.3136715605167743,0.1622198173367089,0.0824827101663415,0.07109672401892876,0.1369835890130612,0.41319709825793915,0.3689232072612202,0.09531462752874037,0.05407327244556963,0.0684917945065306
RUSSIA,Europe,Autocracy,13,0.09312103887743033,0.22015716535824204,0.059064992881823986,0.41368406474634417,0.04890876905507301,0.1650639690810866,0.2880798557134525,0.38316946545161623,0.22653036333378007,0.019688330960607993,0.0825319845405433
SAUDI ARABIA,Asia,Autocracy,11,0.08656907084402753,0.03168146014159283,0.5402741645625734,0.0222923046976286,0.27254964886173344,0.046633350892444095,0.3549915898007657,0.2503628060291489,0.19123754053633876,0.18009138818752446,0.023316675446222047
SINGAPORE,Asia,Autocracy,20,0.1739645435585817,0.038509054450950264,0.5810008893835531,0.09343113033123537,0.0557638261750681,0.05733055610061143,0.19066590323013982,0.3466193272982347,0.24038252829346873,0.19366696312785103,0.028665278050305713
SLOVENIA,Europe,Democracy,66,0.205490274364146,0.4745384357522635,0.06462741336930324,0.18402158559801116,0.017626806703933826,0.05369548421234216,0.3844889038683097,0.45356761898031145,0.11355326392210666,0.02154247112310108,0.02684774210617108
SOUTH KOREA,Asia,Democracy,38,0.02884180051058439,0.026143504043422968,0.18570790542814392,0.06612648457449857,0.24992419900996546,0.44325610643338453,0.4990449045036614,0.1224585297069676,0.09496587742996393,0.061902635142714636,0.22162805321669227
SPAIN,Europe,Democracy,39,0.5129155829374485,0.10370454477714898,0.13837818723669185,0.1701055673335857,0.030377545860812035,0.044518571854312954,0.3609468956452673,0.4394889099363222,0.13117884607902347,0.04612606241223061,0.022259285927156477
SWEDEN,Europe,Democracy,12,0.41088781800300866,0.1385827894025765,0.2174335112005019,0.1857782226084473,0.017364802474136024,0.029952856311329726,0.30707653433259346,0.44010225207385023,0.16536694837105761,0.07247783706683396,0.014976428155664863
THAILAND,Asia,Autocracy,2,0.0106496997613026,0.1087861437352119,0.43434538240447995,0.15236377333440546,0.2313412813121005,0.0625137194525003,0.3223160627866079,0.2806816025502866,0.22096368080202938,0.14478179413482664,0.03125685972625015
THE NETHERLANDS,Europe,Democracy,50,0.13108873678072966,0.1420484750094698,0.06202302305747761,0.2498392368160166,0.3305540565266141,0.0844464718096922,0.50934589832656,0.28216256532226724,0.14559395942716752,0.0206743410191592,0.0422232359048461
UNITED ARAB EMIRATES,Asia,Autocracy,19,0.09755675745620486,0.03166952172269268,0.6565761298921099,0.03398375859285382,0.13183244240444134,0.048381389931697286,0.22063627695973875,0.3004637288499123,0.2358505892604635,0.2188587099640366,0.024190694965848643
UNITED KINGDOM,Europe,Democracy,40,0.0753183385223772,0.041764982841197736,0.6122559942336249,0.19753866424599414,0.04569545460593251,0.0274265655508734,0.11795039806315667,0.36139632421599277,0.3028546635342053,0.20408533141120827,0.0137132827754367
USA,North America,Democracy,20,0.12928969589336942,0.00912919364070188,0.16875184081044323,0.20007434702036267,0.3625572228468663,0.13019769978825652,0.4968655175080302,0.22549723188069803,0.15628778711366242,0.056250613603481076,0.06509884989412826
VIETNAM,Asia,Autocracy,8,0.03721264381670587,0.10017976108260812,0.05497161775937884,0.09719990558419653,0.18914696906471973,0.5212891026923907,0.5184877228605721,0.13562002782821486,0.06692382537855787,0.01832387258645961,0.26064455134619535
